question,law_ref,visa_type
"Are F-1 students allowed to work more than twenty hours per week on campus during the semester?","8 CFR 214.2(f)(9)(i); USCIS PM Vol.2 Part F Ch.6","F1"
"For an F-1 undergraduate, what qualifies as a full load of classes?","8 CFR 214.2(f); USCIS PM Vol.2 Part F Ch.3","F1"
"Under what conditions can an F-1 student participate in curricular practical training?","8 CFR 214.2(f)(10)(i); USCIS PM Vol.2 Part F Ch.5","F1"
"What are the basic rules for optional practical training for F-1 students?","8 CFR 214.2(f)(10)(ii); USCIS PM Vol.2 Part F Ch.5","F1"
"What requirements apply for the STEM OPT extension, like E-Verify or training plans?","8 CFR 214.2(f); USCIS PM Vol.2 Part F Ch.5","F1"
"When does the 60-day grace period for F-1 status begin, and what is it for?","8 CFR 214.1(l)(2); USCIS PM (Grace periods)","F1"
"Is off-campus work permitted for F-1 students while school is in session without prior approval?","8 CFR 214.2(f); USCIS PM Vol.2 Part F Ch.6","F1"
"May the spouse of an F-1 student enroll in a full-time degree program?","USCIS PM Vol.2 Part F Ch.9","F2"
"Can an F-2 spouse accept employment in the United States?","USCIS PM Vol.2 Part F Ch.9","F2"
"Is a J-2 spouse eligible to work, and if so, how?","22 CFR 62.12; USCIS I-765; USCIS PM Vol.2 Part D","J2"
"How can a J-1 holder tell if the two-year home residency requirement applies to them?","INA 212(e); 22 CFR Part 62; USCIS PM Vol.2 Part D","J1"
"What are the rules for on-campus jobs for J-1 college students?","22 CFR 62.23; BridgeUSA guidance","J1"
"If a J-1’s program ends, what happens to the J-2 spouse’s work authorization?","22 CFR 62.12; USCIS PM Vol.2 Part D","J2"
"When can an H-1B visa holder begin working for a new employer under portability rules?","8 CFR 214.2(h)(2)(i)(H); USCIS PM Vol.2 Part H","H1B"
"What proof is needed to start work when changing employers on H-1B status?","8 CFR 214.2(h); USCIS PM Vol.2 Part H","H1B"
"Which H-4 spouses can get an EAD to work in the U.S.?","8 CFR 274a.12(c)(26); USCIS PM Vol.10 Part B Ch.2","H4"
"Are children on H-4 visas allowed to have jobs?","8 CFR 274a.12; USCIS PM Vol.10","H4"
"Can you leave the country and return while an H-1B transfer petition is pending?","8 CFR 214.2(h); USCIS PM Vol.2 Part H","H1B"
"After an H-1B job ends, how long can you remain in the U.S. under the grace period?","8 CFR 214.1(l)(2); USCIS policy","H1B"
"Is it legal for someone on F-1 or H-1B status to volunteer in a role that would normally be a paid position?","USCIS PM employment guidance; 8 CFR 214.2","F1"
